Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
53.21,505823,35.48,337324,AR,1992,Bill Clinton
46.01,5121325,32.61,3630574,CA,1992,Bill Clinton
40.13,629681,35.87,562850,CO,1992,Bill Clinton
42.21,682318,35.78,578313,CT,1992,Bill Clinton
43.52,126054,35.78,102313,DE,1992,Bill Clinton
84.64,192619,9.1,20698,D.C.,1992,Bill Clinton
39,2072698,40.89,2173310,FL,1992,Bill Clinton
43.47,1008966,42.88,995252,GA,1992,Bill Clinton
48.09,179310,36.7,136822,HI,1992,Bill Clinton
28.42,137013,42.03,202645,ID,1992,Bill Clinton
48.58,2453350,34.34,1734096,IL,1992,Bill Clinton
36.79,848420,42.91,989375,IN,1992,Bill Clinton
43.29,586353,37.27,504891,IA,1992,Bill Clinton
33.74,390434,38.88,449951,KS,1992,Bill Clinton
44.55,665104,41.34,617178,KY,1992,Bill Clinton
45.58,815971,40.97,733386,LA,1992,Bill Clinton
38.77,263420,30.39,206504,ME,1992,Bill Clinton
49.8,988571,35.62,707094,MD,1992,Bill Clinton
47.54,1318662,29.03,805049,MA,1992,Bill Clinton
43.77,1871182,36.38,1554940,MI,1992,Bill Clinton
43.48,1020997,31.85,747841,MN,1992,Bill Clinton
40.77,400258,49.68,487793,MS,1992,Bill Clinton
44.07,1053873,33.92,811159,MO,1992,Bill Clinton
37.63,154507,35.12,144207,MT,1992,Bill Clinton
29.4,217344,46.58,344346,NE,1992,Bill Clinton
37.36,189148,34.73,175828,NV,1992,Bill Clinton
38.91,209040,37.69,202484,NH,1992,Bill Clinton
42.95,1436206,40.58,1356865,NJ,1992,Bill Clinton
45.9,261617,37.34,212824,NM,1992,Bill Clinton
49.73,3444450,33.88,2346649,NY,1992,Bill Clinton
42.65,1114042,43.44,1134661,NC,1992,Bill Clinton
32.18,99168,44.22,136244,ND,1992,Bill Clinton
40.18,1984942,38.35,1894310,OH,1992,Bill Clinton
34.02,473066,42.65,592929,OK,1992,Bill Clinton
42.48,621314,32.53,475757,OR,1992,Bill Clinton
45.15,2239164,36.13,1791841,PA,1992,Bill Clinton
47.04,213299,29.02,131601,RI,1992,Bill Clinton
39.88,479514,48.02,577507,SC,1992,Bill Clinton
37.14,124888,40.66,136718,SD,1992,Bill Clinton
47.08,933521,42.43,841300,TN,1992,Bill Clinton
37.08,2281815,40.56,2496071,TX,1992,Bill Clinton
24.65,183429,43.36,322632,UT,1992,Bill Clinton
46.11,133592,30.42,88122,VT,1992,Bill Clinton
40.59,1038650,44.97,1150517,VA,1992,Bill Clinton
43.41,993037,31.97,731234,WA,1992,Bill Clinton
48.41,331001,35.39,241974,WV,1992,Bill Clinton
41.13,1041066,36.78,930855,WI,1992,Bill Clinton
34.1,68160,39.7,79347,WY,1992,Bill Clinton
43.01,44909806,37.45,39104550,United States,1992,Bill Clinton
43.16,662165,50.12,769044,AL,1996,Bill Clinton
33.27,80380,50.8,122746,AK,1996,Bill Clinton
46.52,653288,44.29,622073,AZ,1996,Bill Clinton
53.74,475171,36.8,325416,AR,1996,Bill Clinton
51.1,5119835,38.21,3828380,CA,1996,Bill Clinton
44.43,671152,45.8,691848,CO,1996,Bill Clinton
52.83,735740,34.69,483109,CT,1996,Bill Clinton
51.8,140355,36.58,99062,DE,1996,Bill Clinton
85.19,158220,9.34,17339,D.C.,1996,Bill Clinton
48.02,2546870,42.32,2244536,FL,1996,Bill Clinton
45.84,1053849,47.01,1080843,GA,1996,Bill Clinton
56.93,205012,31.64,113943,HI,1996,Bill Clinton
33.65,165443,52.18,256595,ID,1996,Bill Clinton
54.32,2341744,36.81,1587021,IL,1996,Bill Clinton
41.55,887424,47.13,1006693,IN,1996,Bill Clinton
50.26,620258,39.92,492644,IA,1996,Bill Clinton
36.08,387659,54.29,583245,KS,1996,Bill Clinton
45.84,636614,44.88,623283,KY,1996,Bill Clinton
