Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
27.84,121015,70.55,306658,HI,2012,Barack Obama
64.53,420911,32.62,212787,ID,2012,Barack Obama
40.73,2135216,57.6,3019512,IL,2012,Barack Obama
54.13,1420543,43.93,1152887,IN,2012,Barack Obama
46.18,730617,51.99,822544,IA,2012,Barack Obama
59.71,692634,37.99,440726,KS,2012,Barack Obama
60.49,1087190,37.8,679370,KY,2012,Barack Obama
57.78,1152262,40.58,809141,LA,2012,Barack Obama
40.98,292276,56.27,401306,ME,2012,Barack Obama
35.9,971869,61.97,1677844,MD,2012,Barack Obama
37.51,1188314,60.65,1921290,MA,2012,Barack Obama
44.71,2115256,54.21,2564569,MI,2012,Barack Obama
44.96,1320225,52.65,1546167,MN,2012,Barack Obama
55.29,710746,43.79,562949,MS,2012,Barack Obama
53.76,1482440,44.38,1223796,MO,2012,Barack Obama
55.35,267928,41.7,201839,MT,2012,Barack Obama
59.8,475064,38.03,302081,NE,2012,Barack Obama
45.68,463567,52.36,531373,NV,2012,Barack Obama
46.4,329918,51.98,369561,NH,2012,Barack Obama
40.59,1477568,58.38,2125101,NJ,2012,Barack Obama
42.84,335788,52.99,415335,NM,2012,Barack Obama
35.17,2490431,63.35,4485741,NY,2012,Barack Obama
50.39,2270395,48.35,2178391,NC,2012,Barack Obama
58.32,188163,38.69,124827,ND,2012,Barack Obama
47.69,2661437,50.67,2827709,OH,2012,Barack Obama
66.77,891325,33.23,443547,OK,2012,Barack Obama
42.15,754175,54.24,970488,OR,2012,Barack Obama
46.59,2680434,51.97,2990274,PA,2012,Barack Obama
35.24,157204,62.7,279677,RI,2012,Barack Obama
54.56,1071645,44.09,865941,SC,2012,Barack Obama
57.89,210610,39.87,145039,SD,2012,Barack Obama
59.48,1462330,39.08,960709,TN,2012,Barack Obama
57.17,4569843,41.38,3308124,TX,2012,Barack Obama
72.79,740600,24.75,251813,UT,2012,Barack Obama
30.97,92698,66.57,199239,VT,2012,Barack Obama
47.28,1822522,51.16,1971820,VA,2012,Barack Obama
41.29,1290670,56.16,1755396,WA,2012,Barack Obama
62.3,417655,35.54,238269,WV,2012,Barack Obama
45.89,1407966,52.83,1620985,WI,2012,Barack Obama
68.64,170962,27.82,69286,WY,2012,Barack Obama
47.2,60933504,51.06,65915795,United States,2012,Barack Obama
62.08,1318255,34.36,729547,AL,2016,Donald Trump
51.28,163387,36.55,116454,AK,2016,Donald Trump
48.67,1252401,45.13,1161167,AZ,2016,Donald Trump
60.57,684872,33.65,380494,AR,2016,Donald Trump
31.62,4483810,61.73,8753788,CA,2016,Donald Trump
43.25,1202484,48.16,1338870,CO,2016,Donald Trump
40.93,673215,54.57,897572,CT,2016,Donald Trump
41.79,185127,53.18,235603,DE,2016,Donald Trump
4.07,12723,90.48,282830,D.C.,2016,Donald Trump
49.02,4617886,47.82,4504975,FL,2016,Donald Trump
50.77,2089104,45.64,1877963,GA,2016,Donald Trump
30.03,128847,62.22,266891,HI,2016,Donald Trump
59.26,409055,27.49,189765,ID,2016,Donald Trump
38.76,2146015,55.83,3090729,IL,2016,Donald Trump
56.82,1557286,37.91,1033126,IN,2016,Donald Trump
51.15,800983,41.74,653669,IA,2016,Donald Trump
56.65,671018,36.05,427005,KS,2016,Donald Trump
62.52,1202971,32.68,628854,KY,2016,Donald Trump
58.09,1178638,38.45,780154,LA,2016,Donald Trump
44.87,335593,47.83,357735,ME,2016,Donald Trump
33.91,943169,60.33,1677928,MD,2016,Donald Trump
32.81,1090893,60.01,1995196,MA,2016,Donald Trump
47.5,2279543,47.27,2268839,MI,2016,Donald Trump
44.92,1322951,46.44,1367716,MN,2016,Donald Trump
57.94,700714,40.11,485131,MS,2016,Donald Trump
56.77,1594511,38.14,1071068,MO,2016,Donald Trump
56.17,279240,35.75,177709,MT,2016,Donald Trump
58.75,495961,33.7,284494,NE,2016,Donald Trump
45.5,512058,47.92,539260,NV,2016,Donald Trump
46.61,345790,46.98,348526,NH,2016,Donald Trump
41,1601933,54.99,2148278,NJ,2016,Donald Trump
40.04,319667,48.26,385234,NM,2016,Donald Trump
36.15,2814589,58.4,4547562,NY,2016,Donald Trump
49.83,2362631,46.17,2189316,NC,2016,Donald Trump
62.96,216794,27.23,93758,ND,2016,Donald Trump
51.69,2841005,43.56,2394164,OH,2016,Donald Trump
65.32,949136,28.93,420375,OK,2016,Donald Trump
39.09,782403,50.07,1002106,OR,2016,Donald Trump
48.58,2970733,47.85,2926441,PA,2016,Donald Trump
38.9,180543,54.41,252525,RI,2016,Donald Trump
54.94,1155389,40.67,855373,SC,2016,Donald Trump
61.53,227721,31.74,117458,SD,2016,Donald Trump
60.72,1522925,34.72,870695,TN,2016,Donald Trump
52.23,4685047,43.24,3877868,TX,2016,Donald Trump
45.54,515231,27.46,310676,UT,2016,Donald Trump
29.76,95369,55.72,178573,VT,2016,Donald Trump
44.43,1769443,49.75,1981473,VA,2016,Donald Trump
38.07,1221747,54.3,1742718,WA,2016,Donald Trump
68.63,489371,26.48,188794,WV,2016,Donald Trump
47.22,1405284,46.45,1382536,WI,2016,Donald Trump
67.4,174419,21.63,55973,WY,2016,Donald Trump
45.94,62985106,48.03,65853625,United States,2016,Donald Trump
