Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
60.53,198343,31.69,103855,SD,1980,Ronald Reagan
48.7,787761,48.41,783051,TN,1980,Ronald Reagan
55.28,2510705,41.42,1881147,TX,1980,Ronald Reagan
72.77,439687,20.57,124266,UT,1980,Ronald Reagan
44.37,94598,38.41,81891,VT,1980,Ronald Reagan
53.03,989609,40.31,752174,VA,1980,Ronald Reagan
49.66,865244,37.32,650193,WA,1980,Ronald Reagan
45.3,334206,49.81,367462,WV,1980,Ronald Reagan
47.9,1088845,43.18,981584,WI,1980,Ronald Reagan
62.64,110700,27.97,49427,WY,1980,Ronald Reagan
50.75,43903230,41.01,35480115,United States,1980,Ronald Reagan
60.54,872849,38.28,551899,AL,1984,Ronald Reagan
66.65,138377,29.87,62007,AK,1984,Ronald Reagan
66.42,681416,32.54,333854,AZ,1984,Ronald Reagan
60.47,534774,38.29,338646,AR,1984,Ronald Reagan
57.51,5467009,41.27,3922519,CA,1984,Ronald Reagan
63.44,821818,35.12,454974,CO,1984,Ronald Reagan
60.73,890877,38.83,569597,CT,1984,Ronald Reagan
59.78,152190,39.93,101656,DE,1984,Ronald Reagan
13.73,29009,85.38,180408,D.C.,1984,Ronald Reagan
65.32,2730350,34.66,1448816,FL,1984,Ronald Reagan
60.17,1068722,39.79,706628,GA,1984,Ronald Reagan
55.1,185050,43.82,147154,HI,1984,Ronald Reagan
72.36,297523,26.39,108510,ID,1984,Ronald Reagan
56.17,2707103,43.3,2086499,IL,1984,Ronald Reagan
61.67,1377230,37.68,841481,IN,1984,Ronald Reagan
53.27,703088,45.89,605620,IA,1984,Ronald Reagan
66.27,677296,32.6,333149,KS,1984,Ronald Reagan
60.04,822782,39.37,539589,KY,1984,Ronald Reagan
60.77,1037299,38.18,651586,LA,1984,Ronald Reagan
60.83,336500,38.78,214515,ME,1984,Ronald Reagan
52.51,879918,47.02,787935,MD,1984,Ronald Reagan
51.22,1310936,48.43,1239606,MA,1984,Ronald Reagan
59.23,2251571,40.24,1529638,MI,1984,Ronald Reagan
49.54,1032603,49.72,1036364,MN,1984,Ronald Reagan
61.85,581477,37.46,352192,MS,1984,Ronald Reagan
60.02,1274188,39.98,848583,MO,1984,Ronald Reagan
60.47,232450,38.18,146742,MT,1984,Ronald Reagan
70.55,460054,28.81,187866,NE,1984,Ronald Reagan
65.85,188770,31.97,91655,NV,1984,Ronald Reagan
68.66,267051,30.95,120395,NH,1984,Ronald Reagan
60.09,1933630,39.2,1261323,NJ,1984,Ronald Reagan
59.7,307101,39.23,201769,NM,1984,Ronald Reagan
53.84,3664763,45.83,3119609,NY,1984,Ronald Reagan
61.9,1346481,37.89,824287,NC,1984,Ronald Reagan
64.84,200336,33.8,104429,ND,1984,Ronald Reagan
58.9,2678560,40.14,1825440,OH,1984,Ronald Reagan
68.61,861530,30.67,385080,OK,1984,Ronald Reagan
55.91,685700,43.74,536479,OR,1984,Ronald Reagan
53.34,2584323,45.99,2228131,PA,1984,Ronald Reagan
51.66,212080,48.02,197106,RI,1984,Ronald Reagan
63.55,615539,35.57,344470,SC,1984,Ronald Reagan
63,200267,36.53,116113,SD,1984,Ronald Reagan
57.84,990212,41.57,711714,TN,1984,Ronald Reagan
63.61,3433428,36.11,1949276,TX,1984,Ronald Reagan
74.5,469105,24.68,155369,UT,1984,Ronald Reagan
57.92,135865,40.81,95730,VT,1984,Ronald Reagan
62.29,1337078,37.09,796250,VA,1984,Ronald Reagan
55.82,1051670,42.86,807352,WA,1984,Ronald Reagan
55.11,405483,44.6,328125,WV,1984,Ronald Reagan
54.19,1198800,45.02,995847,WI,1984,Ronald Reagan
70.51,133241,28.24,53370,WY,1984,Ronald Reagan
58.77,54455472,40.56,525,United States,1984,Ronald Reagan
59.17,815576,39.86,549506,AL,1988,George H.W. Bush
59.59,119251,36.27,72584,AK,1988,George H.W. Bush
59.95,702541,38.74,454029,AZ,1988,George H.W. Bush
56.37,466578,42.19,349237,AR,1988,George H.W. Bush
51.13,5054917,47.56,4702233,CA,1988,George H.W. Bush
53.06,728177,45.28,621453,CO,1988,George H.W. Bush
51.98,750241,46.87,676584,CT,1988,George H.W. Bush
14.3,139639,82.65,108647,D.C.,1988,George H.W. Bush
55.88,27590,43.48,159407,DE,1988,George H.W. Bush
60.87,2618885,38.51,1656701,FL,1988,George H.W. Bush
59.75,1081331,39.5,714792,GA,1988,George H.W. Bush
44.75,158625,54.27,192364,HI,1988,George H.W. Bush
62.08,253881,36.01,147272,ID,1988,George H.W. Bush
50.69,2310939,48.6,2215940,IL,1988,George H.W. Bush
59.84,1297763,39.69,860643,IN,1988,George H.W. Bush
44.5,545355,54.71,670557,IA,1988,George H.W. Bush
