"Republican_percent","Republican_votes","Democratic_percent","Democratic_votes","state_abb","year","President","margin_percent","margin_votes","win","personal_income","national_personal_income","relative_personal_income"
44.22,136244,32.18,99168,"ND",1992,"Bill Clinton",-12.04,37076,"Republican",17880,21069,0.848640182258294
38.35,1894310,40.18,1984942,"OH",1992,"Bill Clinton",1.83,90632,"Democratic",20034,21069,0.9508756941478
42.65,592929,34.02,473066,"OK",1992,"Bill Clinton",-8.63,119863,"Republican",17357,21069,0.823816982296265
32.53,475757,42.48,621314,"OR",1992,"Bill Clinton",9.95,145557,"Democratic",19440,21069,0.922682614267407
36.13,1791841,45.15,2239164,"PA",1992,"Bill Clinton",9.02,447323,"Democratic",21276,21069,1.00982486117044
29.02,131601,47.04,213299,"RI",1992,"Bill Clinton",18.02,81698,"Democratic",21125,21069,1.00265793345674
48.02,577507,39.88,479514,"SC",1992,"Bill Clinton",-8.14,97993,"Republican",17213,21069,0.816982296264654
40.66,136718,37.14,124888,"SD",1992,"Bill Clinton",-3.52,11830,"Republican",18226,21069,0.865062413973136
42.43,841300,47.08,933521,"TN",1992,"Bill Clinton",4.65,92221,"Democratic",18664,21069,0.885851250652618
40.56,2496071,37.08,2281815,"TX",1992,"Bill Clinton",-3.48,214256,"Republican",18880,21069,0.896103279700033
43.36,322632,24.65,183429,"UT",1992,"Bill Clinton",-18.71,139203,"Republican",16292,21069,0.773268783520813
30.42,88122,46.11,133592,"VT",1992,"Bill Clinton",15.69,45470,"Democratic",19411,21069,0.921306184441597
44.97,1150517,40.59,1038650,"VA",1992,"Bill Clinton",-4.38,111867,"Republican",22430,21069,1.06459727561821
31.97,731234,43.41,993037,"WA",1992,"Bill Clinton",11.44,261803,"Democratic",22139,21069,1.05078551426266
35.39,241974,48.41,331001,"WV",1992,"Bill Clinton",13.02,89027,"Democratic",16229,21069,0.770278608381983
36.78,930855,41.13,1041066,"WI",1992,"Bill Clinton",4.35,110211,"Democratic",20136,21069,0.955716930086857
39.7,79347,34.1,68160,"WY",1992,"Bill Clinton",-5.6,11187,"Republican",19457,21069,0.923489486923917
37.45,39104550,43.01,44909806,"United States",1992,"Bill Clinton",5.56,5805256,"Democratic",21069,21069,1
50.12,769044,43.16,662165,"AL",1996,"Bill Clinton",-6.96,106879,"Republican",20569,24719,0.832112949552975
50.8,122746,33.27,80380,"AK",1996,"Bill Clinton",-17.53,42366,"Republican",26565,24719,1.07467939641571
44.29,622073,46.52,653288,"AZ",1996,"Bill Clinton",2.23,31215,"Democratic",21572,24719,0.872689024636919
36.8,325416,53.74,475171,"AR",1996,"Bill Clinton",16.94,149755,"Democratic",19444,24719,0.786601399732999
38.21,3828380,51.1,5119835,"CA",1996,"Bill Clinton",12.89,1291455,"Democratic",25885,24719,1.04717019296897
45.8,691848,44.43,671152,"CO",1996,"Bill Clinton",-1.37,20696,"Republican",26090,24719,1.05546340871394
34.69,483109,52.83,735740,"CT",1996,"Bill Clinton",18.14,252631,"Democratic",33143,24719,1.34079048505198
36.58,99062,51.8,140355,"DE",1996,"Bill Clinton",15.22,41293,"Democratic",26310,24719,1.06436344512318
9.34,17339,85.19,158220,"D.C.",1996,"Bill Clinton",75.85,140881,"Democratic",33536,24719,1.35668918645576
42.32,2244536,48.02,2546870,"FL",1996,"Bill Clinton",5.7,302334,"Democratic",24667,24719,0.997896355030543
47.01,1080843,45.84,1053849,"GA",1996,"Bill Clinton",-1.16999999999999,26994,"Republican",23368,24719,0.945345685505077
31.64,113943,56.93,205012,"HI",1996,"Bill Clinton",25.29,91069,"Democratic",25575,24719,1.03462923257413
52.18,256595,33.65,165443,"ID",1996,"Bill Clinton",-18.53,91152,"Republican",20827,24719,0.842550264978357
36.81,1587021,54.32,2341744,"IL",1996,"Bill Clinton",17.51,754723,"Democratic",27109,24719,1.09668675917311
47.13,1006693,41.55,887424,"IN",1996,"Bill Clinton",-5.58000000000001,119269,"Republican",22972,24719,0.929325619968445
39.92,492644,50.26,620258,"IA",1996,"Bill Clinton",10.34,127614,"Democratic",23266,24719,0.941219304988066
54.29,583245,36.08,387659,"KS",1996,"Bill Clinton",-18.21,195586,"Republican",23703,24719,0.958898013673692
44.88,623283,45.84,636614,"KY",1996,"Bill Clinton",0.960000000000001,13331,"Democratic",20254,24719,0.819369715603382
39.94,712586,52.01,927837,"LA",1996,"Bill Clinton",12.07,215251,"Democratic",20222,24719,0.818075164852947
30.76,186378,51.62,312788,"ME",1996,"Bill Clinton",20.86,126410,"Democratic",21903,24719,0.88607953396173
38.27,681530,54.25,966207,"MD",1996,"Bill Clinton",15.98,284677,"Democratic",28027,24719,1.13382418382621
28.09,718107,61.47,1571763,"MA",1996,"Bill Clinton",33.38,853656,"Democratic",29523,24719,1.19434443140904
38.48,1481212,51.69,1989653,"MI",1996,"Bill Clinton",13.21,508441,"Democratic",24696,24719,0.999069541648125
34.96,766476,51.1,1120438,"MN",1996,"Bill Clinton",16.14,353962,"Democratic",25778,24719,1.0428415388972
49.21,439838,44.08,394022,"MS",1996,"Bill Clinton",-5.13,45816,"Republican",18300,24719,0.740321210404952
41.24,890016,47.54,1025935,"MO",1996,"Bill Clinton",6.3,135919,"Democratic",23271,24719,0.941421578542821
44.11,179652,41.23,167922,"MT",1996,"Bill Clinton",-2.88,11730,"Republican",19530,24719,0.790080504874793
53.65,363467,34.95,236761,"NE",1996,"Bill Clinton",-18.7,126706,"Republican",24348,24719,0.984991302237145
42.91,199244,43.93,203974,"NV",1996,"Bill Clinton",1.02,4730,"Democratic",26611,24719,1.07654031311946
39.37,196532,49.32,246214,"NH",1996,"Bill Clinton",9.95,49682,"Democratic",26417,24719,1.06869209919495
35.86,1103078,53.72,1652329,"NJ",1996,"Bill Clinton",17.86,549251,"Democratic",31074,24719,1.25708968809418
41.86,232751,49.18,273495,"NM",1996,"Bill Clinton",7.32,40744,"Democratic",19637,24719,0.794409158946559
30.61,1933492,59.47,3756177,"NY",1996,"Bill Clinton",28.86,1822685,"Democratic",28953,24719,1.17128524616692
48.73,1225938,44.04,1107849,"NC",1996,"Bill Clinton",-4.69,118089,"Republican",22923,24719,0.927343339131842
46.94,125050,40.13,106905,"ND",1996,"Bill Clinton",-6.81,18145,"Republican",21635,24719,0.875237671426838
41.02,1859883,47.38,2148222,"OH",1996,"Bill Clinton",6.36,288339,"Democratic",23710,24719,0.95918119665035
48.26,582315,40.45,488105,"OK",1996,"Bill Clinton",-7.81,94210,"Republican",20101,24719,0.813180144827865
39.06,538152,47.15,649641,"OR",1996,"Bill Clinton",8.09,111489,"Democratic",23889,24719,0.966422589910595
39.97,1801169,49.17,2215819,"PA",1996,"Bill Clinton",9.2,414650,"Democratic",24767,24719,1.00194182612565
26.82,104683,59.71,233050,"RI",1996,"Bill Clinton",32.89,128367,"Democratic",24471,24719,0.98996723168413
49.89,573458,43.85,504051,"SC",1996,"Bill Clinton",-6.04,69407,"Republican",20614,24719,0.833933411545774
46.49,150543,43.03,139333,"SD",1996,"Bill Clinton",-3.46,11210,"Republican",22237,24719,0.899591407419394
45.59,863530,48,909146,"TN",1996,"Bill Clinton",2.41,45616,"Democratic",22341,24719,0.903798697358307
48.76,2736167,43.83,2459683,"TX",1996,"Bill Clinton",-4.93,276484,"Republican",22319,24719,0.902908693717383
54.37,361911,33.3,221633,"UT",1996,"Bill Clinton",-21.07,140278,"Republican",20126,24719,0.814191512601642
31.09,80352,53.35,137894,"VT",1996,"Bill Clinton",22.26,57542,"Democratic",22684,24719,0.917674663214531
47.1,1138350,45.15,1091060,"VA",1996,"Bill Clinton",-1.95,47290,"Republican",25962,24719,1.05028520571221
37.3,840712,49.84,1123323,"WA",1996,"Bill Clinton",12.54,282611,"Democratic",25782,24719,1.04300335774101
36.76,233946,51.51,327812,"WV",1996,"Bill Clinton",14.75,93866,"Democratic",18692,24719,0.756179457097779
38.48,845029,48.81,1071971,"WI",1996,"Bill Clinton",10.33,226942,"Democratic",24027,24719,0.972005340021846
49.81,105388,36.84,77934,"WY",1996,"Bill Clinton",-12.97,27454,"Republican",22440,24719,0.907803713742465
40.71,39198755,49.24,47400125,"United States",1996,"Bill Clinton",8.53,8201370,"Democratic",24719,24719,1
56.48,941173,41.57,692611,"AL",2000,"George W. Bush",-14.91,248562,"Republican",24649,30585,0.805917933627595
58.62,167398,27.67,79004,"AK",2000,"George W. Bush",-30.95,88394,"Republican",31481,30585,1.02929540624489
51.02,781652,44.73,685341,"AZ",2000,"George W. Bush",-6.29000000000001,96311,"Republican",26553,30585,0.868170671897989
51.31,472940,45.86,422768,"AR",2000,"George W. Bush",-5.45,50172,"Republican",22803,30585,0.745561549779304
41.65,4567429,53.45,5861203,"CA",2000,"George W. Bush",11.8,1293774,"Democratic",33391,30585,1.09174431911068
50.75,883748,42.39,738227,"CO",2000,"George W. Bush",-8.36,145521,"Republican",34234,30585,1.11930684976296
38.44,561094,55.91,816015,"CT",2000,"George W. Bush",17.47,254921,"Democratic",42209,30585,1.38005558280203
41.9,137288,54.96,180068,"DE",2000,"George W. Bush",13.06,42780,"Democratic",32109,30585,1.04982834722903
8.95,18073,85.16,171923,"D.C.",2000,"George W. Bush",76.21,153850,"Democratic",43223,30585,1.41320908942292
48.85,2912790,48.84,2912253,"FL",2000,"George W. Bush",-0.00999999999999801,537,"Republican",29597,30585,0.967696583292464
54.67,1419720,42.98,1116230,"GA",2000,"George W. Bush",-11.69,303490,"Republican",28693,30585,0.938139610920386
37.46,137845,55.79,205286,"HI",2000,"George W. Bush",18.33,67441,"Democratic",28931,30585,0.945921203204185
67.17,336937,27.64,138637,"ID",2000,"George W. Bush",-39.53,198300,"Republican",25258,30585,0.82582965505967
42.58,2019421,54.6,2589026,"IL",2000,"George W. Bush",12.02,569605,"Democratic",32946,30585,1.07719470328592
56.65,1245836,41.01,901980,"IN",2000,"George W. Bush",-15.64,343856,"Republican",28122,30585,0.919470328592447
48.22,634373,48.54,638517,"IA",2000,"George W. Bush",0.32,4144,"Democratic",27561,30585,0.901128003923492
58.04,622332,37.24,399276,"KS",2000,"George W. Bush",-20.8,223056,"Republican",28744,30585,0.9398070949812
56.5,872492,41.37,638898,"KY",2000,"George W. Bush",-15.13,233594,"Republican",24954,30585,0.815890142226582
52.55,927871,44.88,792344,"LA",2000,"George W. Bush",-7.66999999999999,135527,"Republican",23570,30585,0.770639202223312
43.97,286616,49.09,319951,"ME",2000,"George W. Bush",5.12,33335,"Democratic",27109,30585,0.886349517737453
40.18,813797,56.57,1145782,"MD",2000,"George W. Bush",16.39,331985,"Democratic",35345,30585,1.15563184567598
32.5,878502,59.8,1616487,"MA",2000,"George W. Bush",27.3,737985,"Democratic",38438,30585,1.25675984959948
46.15,1953139,51.28,2170418,"MI",2000,"George W. Bush",5.13,217279,"Democratic",30023,30585,0.981624979565146
45.5,1109659,47.91,1168266,"MN",2000,"George W. Bush",2.41,58607,"Democratic",32332,30585,1.05711950302436
57.62,572844,40.7,404614,"MS",2000,"George W. Bush",-16.92,168230,"Republican",21582,30585,0.70564001961746
50.42,1189924,47.08,1111138,"MO",2000,"George W. Bush",-3.34,78786,"Republican",28015,30585,0.915971881641327
58.44,240178,33.36,137126,"MT",2000,"George W. Bush",-25.08,103052,"Republican",23594,30585,0.771423900604872
62.25,433862,33.25,231780,"NE",2000,"George W. Bush",-29,202082,"Republican",28978,30585,0.947457904201406
49.52,301575,45.98,279978,"NV",2000,"George W. Bush",-3.54000000000001,21597,"Republican",31230,30585,1.02108876900441
48.07,273559,46.8,266348,"NH",2000,"George W. Bush",-1.27,7211,"Republican",34293,30585,1.12123589995096
40.29,1284173,56.13,1788850,"NJ",2000,"George W. Bush",15.84,504677,"Democratic",39165,30585,1.28052967140755
47.85,286417,47.91,286783,"NM",2000,"George W. Bush",0.0599999999999952,366,"Democratic",23438,30585,0.766323361124734
35.23,2403374,60.21,4107697,"NY",2000,"George W. Bush",24.98,1704323,"Democratic",35328,30585,1.15507601765571
56.03,1631163,43.2,1257692,"NC",2000,"George W. Bush",-12.83,373471,"Republican",27876,30585,0.911427170181461
60.66,174852,33.06,95284,"ND",2000,"George W. Bush",-27.6,79568,"Republican",25870,30585,0.845839463789439
49.97,2351209,46.46,2186190,"OH",2000,"George W. Bush",-3.51,165019,"Republican",28631,30585,0.93611247343469
60.31,744337,38.43,474276,"OK",2000,"George W. Bush",-21.88,270061,"Republican",24801,30585,0.810887690044139
46.52,713577,46.96,720342,"OR",2000,"George W. Bush",0.439999999999998,6765,"Democratic",28878,30585,0.944188327611574
46.43,2281127,50.6,2485967,"PA",2000,"George W. Bush",4.17,204840,"Democratic",30493,30585,0.996991989537355
31.91,130555,60.99,249508,"RI",2000,"George W. Bush",29.08,118953,"Democratic",30214,30585,0.987869870851725
56.84,785937,40.9,565561,"SC",2000,"George W. Bush",-15.94,220376,"Republican",25143,30585,0.822069641981363
60.3,190700,37.56,118804,"SD",2000,"George W. Bush",-22.74,71896,"Republican",27267,30585,0.891515448749387
51.15,1061949,47.28,981720,"TN",2000,"George W. Bush",-3.87,80229,"Republican",27503,30585,0.89923164950139
59.3,3799639,37.98,2433746,"TX",2000,"George W. Bush",-21.32,1365893,"Republican",28365,30585,0.927415399705738
66.83,515096,26.34,203053,"UT",2000,"George W. Bush",-40.49,312043,"Republican",24781,30585,0.810233774726173
40.7,119775,50.63,149022,"VT",2000,"George W. Bush",9.93,29247,"Democratic",28556,30585,0.933660290992317
52.47,1437490,44.44,1217290,"VA",2000,"George W. Bush",-8.03,220200,"Republican",32465,30585,1.06146803988883
44.58,1108864,50.16,1247652,"WA",2000,"George W. Bush",5.58,138788,"Democratic",32882,30585,1.07510217426843
51.92,336475,45.59,295497,"WV",2000,"George W. Bush",-6.33,40978,"Republican",22110,30585,0.72290338401177
47.61,1237279,47.83,1242987,"WI",2000,"George W. Bush",0.219999999999999,5708,"Democratic",29382,30585,0.960666993624326
67.76,147947,27.7,60481,"WY",2000,"George W. Bush",-40.06,87466,"Republican",28959,30585,0.946836684649338
47.87,50456002,48.38,50999897,"United States",2000,"George W. Bush",0.510000000000005,543895,"Democratic",30585,30585,1
62.46,1176394,36.84,693933,"AL",2004,"George W. Bush",-25.62,482461,"Republican",28802,34280,0.840198366394399
61.07,190889,35.52,111025,"AK",2004,"George W. Bush",-25.55,79864,"Republican",36577,34280,1.06700700116686
54.87,1104294,44.4,893524,"AZ",2004,"George W. Bush",-10.47,210770,"Republican",30222,34280,0.881621936989498
54.31,572898,44.55,469953,"AR",2004,"George W. Bush",-9.76000000000001,102945,"Republican",26855,34280,0.783401400233372
44.36,5509826,54.31,6745485,"CA",2004,"George W. Bush",9.95,1235659,"Democratic",37244,34280,1.08646441073512
51.69,1101255,47.02,1001732,"CO",2004,"George W. Bush",-4.66999999999999,99523,"Republican",36676,34280,1.06989498249708
43.95,693826,54.31,857488,"CT",2004,"George W. Bush",10.36,163662,"Democratic",47105,34280,1.37412485414236
45.75,171660,53.35,200152,"DE",2004,"George W. Bush",7.6,28492,"Democratic",37263,34280,1.0870186697783
9.34,21256,89.18,202970,"D.C.",2004,"George W. Bush",79.84,181714,"Democratic",50945,34280,1.48614352392065
52.1,3964522,47.09,3583544,"FL",2004,"George W. Bush",-5.01,380978,"Republican",34042,34280,0.993057176196033
57.97,1914254,41.37,1366149,"GA",2004,"George W. Bush",-16.6,548105,"Republican",31527,34280,0.919690781796966
45.26,194191,54.01,231708,"HI",2004,"George W. Bush",8.75,37517,"Democratic",33830,34280,0.986872812135356
68.38,409235,30.26,181098,"ID",2004,"George W. Bush",-38.12,228137,"Republican",28813,34280,0.840519253208868
44.48,2345946,54.82,2891550,"IL",2004,"George W. Bush",10.34,545604,"Democratic",36126,34280,1.05385064177363
59.94,1479438,39.26,969011,"IN",2004,"George W. Bush",-20.68,510427,"Republican",30693,34280,0.895361726954492
49.9,751957,49.23,741898,"IA",2004,"George W. Bush",-0.670000000000002,10059,"Republican",32148,34280,0.937806301050175
62,736456,36.62,434993,"KS",2004,"George W. Bush",-25.38,301463,"Republican",31999,34280,0.933459743290548
59.55,1069439,39.69,712733,"KY",2004,"George W. Bush",-19.86,356706,"Republican",28046,34280,0.818144690781797
56.72,1102169,42.22,820299,"LA",2004,"George W. Bush",-14.5,281870,"Republican",27472,34280,0.801400233372229
44.58,330201,53.57,396842,"ME",2004,"George W. Bush",8.99,66641,"Democratic",31762,34280,0.926546091015169
42.93,1024703,55.91,1334493,"MD",2004,"George W. Bush",12.98,309790,"Democratic",41432,34280,1.20863477246208
36.78,1071109,61.94,1803800,"MA",2004,"George W. Bush",25.16,732691,"Democratic",42674,34280,1.24486581096849
47.81,2313746,51.23,2479183,"MI",2004,"George W. Bush",3.41999999999999,165437,"Democratic",32097,34280,0.936318553092182
47.61,1346695,51.09,1445014,"MN",2004,"George W. Bush",3.48,98319,"Democratic",36924,34280,1.07712952158693
59.45,684981,39.76,458094,"MS",2004,"George W. Bush",-19.69,226887,"Republican",25257,34280,0.736785297549592
53.3,1455713,46.1,1259171,"MO",2004,"George W. Bush",-7.2,196542,"Republican",31636,34280,0.922870478413069
59.07,266063,38.56,173710,"MT",2004,"George W. Bush",-20.51,92353,"Republican",28180,34280,0.822053675612602
65.9,512814,32.68,254328,"NE",2004,"George W. Bush",-33.22,258486,"Republican",33768,34280,0.985064177362894
50.47,418690,47.88,397190,"NV",2004,"George W. Bush",-2.59,21500,"Republican",35744,34280,1.04270711785298
48.87,331237,50.24,340511,"NH",2004,"George W. Bush",1.37,9274,"Democratic",38390,34280,1.11989498249708
46.24,1670003,52.92,1911430,"NJ",2004,"George W. Bush",6.68,241427,"Democratic",43686,34280,1.27438739789965
49.84,376930,49.05,370942,"NM",2004,"George W. Bush",-0.790000000000006,5988,"Republican",27435,34280,0.800320886814469
40.08,2962567,58.37,4314280,"NY",2004,"George W. Bush",18.29,1351713,"Democratic",39342,34280,1.14766627771295
56.02,1961166,43.58,1525849,"NC",2004,"George W. Bush",-12.44,435317,"Republican",30785,34280,0.898045507584597
62.86,196651,35.5,111052,"ND",2004,"George W. Bush",-27.36,85599,"Republican",29717,34280,0.866890315052509
50.81,2859768,48.71,2741167,"OH",2004,"George W. Bush",-2.1,118601,"Republican",31732,34280,0.925670945157526
65.57,959792,34.43,503966,"OK",2004,"George W. Bush",-31.14,455826,"Republican",28989,34280,0.845653442240373
47.19,866831,51.35,943163,"OR",2004,"George W. Bush",4.16,76332,"Democratic",31486,34280,0.918494749124854
48.42,2793847,50.92,2938095,"PA",2004,"George W. Bush",2.5,144248,"Democratic",34648,34280,1.01073512252042
38.67,169046,59.42,259765,"RI",2004,"George W. Bush",20.75,90719,"Democratic",35562,34280,1.03739789964994
57.98,937974,40.9,661699,"SC",2004,"George W. Bush",-17.08,276275,"Republican",28135,34280,0.820740956826138
59.91,232584,38.44,149244,"SD",2004,"George W. Bush",-21.47,83340,"Republican",32564,34280,0.949941656942824
56.8,1384375,42.53,1036477,"TN",2004,"George W. Bush",-14.27,347898,"Republican",30925,34280,0.902129521586931
61.09,4526917,38.22,2832704,"TX",2004,"George W. Bush",-22.87,1694213,"Republican",31077,34280,0.906563593932322
71.54,663742,26,241199,"UT",2004,"George W. Bush",-45.54,422543,"Republican",27545,34280,0.80352975495916
38.8,121180,58.94,184067,"VT",2004,"George W. Bush",20.14,62887,"Democratic",33652,34280,0.981680280046674
53.68,1716959,45.48,1454742,"VA",2004,"George W. Bush",-8.2,262217,"Republican",37753,34280,1.10131271878646
45.64,1304894,52.82,1510201,"WA",2004,"George W. Bush",7.18,205307,"Democratic",36787,34280,1.07313302217036
56.06,423778,43.2,326541,"WV",2004,"George W. Bush",-12.86,97237,"Republican",25498,34280,0.743815635939323
49.32,1478120,49.7,1489504,"WI",2004,"George W. Bush",0.380000000000003,11384,"Democratic",33350,34280,0.972870478413069
68.86,167629,29.07,70776,"WY",2004,"George W. Bush",-39.79,96853,"Republican",35692,34280,1.04119019836639
50.73,62040610,48.27,59028444,"United States",2004,"George W. Bush",-2.45999999999999,3012166,"Republican",34280,34280,1
60.32,1266546,38.74,813479,"AL",2008,"Barack Obama",-21.58,453067,"Republican",33910,41052,0.826025528597876
59.42,193841,37.89,123594,"AK",2008,"Barack Obama",-21.53,70247,"Republican",47271,41052,1.15149079216603
53.64,1230111,45.12,1034707,"AZ",2008,"Barack Obama",-8.52,195404,"Republican",36077,41052,0.878812238136997
58.72,638017,38.86,422310,"AR",2008,"Barack Obama",-19.86,215707,"Republican",32434,41052,0.790071129299425
36.95,5011781,61.01,8274473,"CA",2008,"Barack Obama",24.06,3262692,"Democratic",43786,41052,1.06659846048914
44.71,1073629,53.66,1288633,"CO",2008,"Barack Obama",8.95,215004,"Democratic",43631,41052,1.06282276137582
38.22,629428,60.59,997772,"CT",2008,"Barack Obama",22.37,368344,"Democratic",57776,41052,1.40738575465264
36.95,152374,61.94,255459,"DE",2008,"Barack Obama",24.99,103085,"Democratic",42319,41052,1.03086329533275
6.53,17367,92.46,245800,"D.C.",2008,"Barack Obama",85.93,228433,"Democratic",66220,41052,1.61307609860665
48.22,4045624,51.03,4282074,"FL",2008,"Barack Obama",2.81,236450,"Democratic",40018,41052,0.97481243301179
52.2,2048759,46.99,1844123,"GA",2008,"Barack Obama",-5.21,204636,"Republican",35895,41052,0.874378836597486
26.58,120566,71.85,325871,"HI",2008,"Barack Obama",45.27,205305,"Democratic",41643,41052,1.01439637532885
61.52,403012,36.09,236440,"ID",2008,"Barack Obama",-25.43,166572,"Republican",32854,41052,0.800302055929066
36.78,2031179,61.92,3419348,"IL",2008,"Barack Obama",25.14,1388169,"Democratic",43620,41052,1.06255480853552
48.91,1345648,49.95,1374039,"IN",2008,"Barack Obama",1.04000000000001,28391,"Democratic",35047,41052,0.85372210854526
44.39,682379,53.93,828940,"IA",2008,"Barack Obama",9.54,146561,"Democratic",39339,41052,0.958272434960538
56.61,699655,41.65,514765,"KS",2008,"Barack Obama",-14.96,184890,"Republican",40936,41052,0.99717431550229
57.4,1048462,41.17,751985,"KY",2008,"Barack Obama",-16.23,296477,"Republican",32953,41052,0.802713631491767
58.56,1148275,39.93,782989,"LA",2008,"Barack Obama",-18.63,365286,"Republican",37858,41052,0.922196238916496
40.38,295273,57.71,421923,"ME",2008,"Barack Obama",17.33,126650,"Democratic",36695,41052,0.893866315892039
36.47,959862,61.92,1629467,"MD",2008,"Barack Obama",25.45,669605,"Democratic",49307,41052,1.20108642697067
35.99,1108854,61.8,1904097,"MA",2008,"Barack Obama",25.81,795243,"Democratic",51742,41052,1.26040144207347
40.96,2048639,57.43,2872579,"MI",2008,"Barack Obama",16.47,823940,"Democratic",35828,41052,0.872746760206567
43.82,1275409,54.06,1573354,"MN",2008,"Barack Obama",10.24,297945,"Democratic",43256,41052,1.05368800545649
56.18,724597,43,554662,"MS",2008,"Barack Obama",-13.18,169935,"Republican",30703,41052,0.747905095975836
49.43,1445814,49.29,1441911,"MO",2008,"Barack Obama",-0.140000000000001,3903,"Republican",37441,41052,0.91203839033421
49.51,242763,47.25,231667,"MT",2008,"Barack Obama",-2.26,11096,"Republican",34912,41052,0.850433596414304
56.53,452979,41.6,333319,"NE",2008,"Barack Obama",-14.93,119660,"Republican",40626,41052,0.98962291727565
42.65,412827,55.15,533736,"NV",2008,"Barack Obama",12.5,120909,"Democratic",40243,41052,0.980293286563383
44.52,316534,54.13,384826,"NH",2008,"Barack Obama",9.61,68292,"Democratic",44876,41052,1.09315015102796
41.7,1613207,57.27,2215422,"NJ",2008,"Barack Obama",15.57,602215,"Democratic",52256,41052,1.27292214752022
41.78,346832,56.91,472422,"NM",2008,"Barack Obama",15.13,125590,"Democratic",33374,41052,0.812968917470525
36.03,2752771,62.88,4804945,"NY",2008,"Barack Obama",26.85,2052174,"Democratic",49032,41052,1.19438760596317
49.38,2128474,49.7,2142651,"NC",2008,"Barack Obama",0.32,14177,"Democratic",35917,41052,0.874914742278086
53.25,168601,44.62,141278,"ND",2008,"Barack Obama",-8.63,27323,"Republican",40923,41052,0.996857643963753
46.91,2677820,51.5,2940044,"OH",2008,"Barack Obama",4.59,262224,"Democratic",36643,41052,0.892599629737893
65.65,960165,34.35,502496,"OK",2008,"Barack Obama",-31.3,457669,"Republican",37739,41052,0.919297476371431
40.4,738475,56.75,1037291,"OR",2008,"Barack Obama",16.35,298816,"Democratic",36750,41052,0.89520608009354
44.17,2655885,54.49,3276363,"PA",2008,"Barack Obama",10.32,620478,"Democratic",41675,41052,1.01517587450063
35.06,165391,62.86,296571,"RI",2008,"Barack Obama",27.8,131180,"Democratic",41889,41052,1.02038877521193
53.87,1034896,44.9,862449,"SC",2008,"Barack Obama",-8.97,172447,"Republican",33449,41052,0.81479586865439
53.16,203054,44.75,170924,"SD",2008,"Barack Obama",-8.41,32130,"Republican",40095,41052,0.976688102893891
56.9,1479178,41.83,1087437,"TN",2008,"Barack Obama",-15.07,391741,"Republican",35307,41052,0.860055539315989
55.45,4479328,43.68,3528633,"TX",2008,"Barack Obama",-11.77,950695,"Republican",39892,41052,0.971743155022898
62.58,596030,34.41,327670,"UT",2008,"Barack Obama",-28.17,268360,"Republican",34512,41052,0.840689856767027
30.45,98974,67.46,219262,"VT",2008,"Barack Obama",37.01,120288,"Democratic",40111,41052,0.977077852479782
46.33,1725005,52.63,1959532,"VA",2008,"Barack Obama",6.3,234527,"Democratic",45618,41052,1.11122478807366
40.48,1229216,57.65,1750848,"WA",2008,"Barack Obama",17.17,521632,"Democratic",44460,41052,1.0830166617948
55.71,397466,42.59,303857,"WV",2008,"Barack Obama",-13.12,93609,"Republican",31397,41052,0.76481048426386
42.31,1262393,56.22,1677211,"WI",2008,"Barack Obama",13.91,414818,"Democratic",38980,41052,0.949527428627107
64.78,164958,32.54,82868,"WY",2008,"Barack Obama",-32.24,82090,"Republican",48934,41052,1.19200038974959
45.65,59948323,52.93,69498516,"United States",2008,"Barack Obama",7.28,9550193,"Democratic",41052,41052,1
60.55,1255925,38.36,795696,"AL",2012,"Barack Obama",-22.19,460229,"Republican",36036,44263,0.814133700833653
54.8,164676,40.81,122640,"AK",2012,"Barack Obama",-13.99,42036,"Republican",52269,44263,1.18087341571968
53.65,1233654,44.59,1025232,"AZ",2012,"Barack Obama",-9.06,208422,"Republican",36788,44263,0.831123059892009
60.57,647744,36.88,394409,"AR",2012,"Barack Obama",-23.69,253335,"Republican",36291,44263,0.819894720195197
37.12,4839958,60.24,7854285,"CA",2012,"Barack Obama",23.12,3014327,"Democratic",47614,44263,1.07570657208052
46.13,1185243,51.49,1323102,"CO",2012,"Barack Obama",5.36,137859,"Democratic",46402,44263,1.04832478593859
40.73,634892,58.06,905083,"CT",2012,"Barack Obama",17.33,270191,"Democratic",62738,44263,1.41739150080202
39.98,165484,58.61,242584,"DE",2012,"Barack Obama",18.63,77100,"Democratic",44747,44263,1.01093464067054
7.28,21381,90.91,267070,"D.C.",2012,"Barack Obama",83.63,245689,"Democratic",68973,44263,1.55825407224996
49.13,4163447,50.01,4237756,"FL",2012,"Barack Obama",0.879999999999995,74309,"Democratic",41249,44263,0.931907010369835
53.3,2078688,45.48,1773827,"GA",2012,"Barack Obama",-7.82,304861,"Republican",37254,44263,0.84165104037232
27.84,121015,70.55,306658,"HI",2012,"Barack Obama",42.71,185643,"Democratic",44504,44263,1.00544472810248
64.53,420911,32.62,212787,"ID",2012,"Barack Obama",-31.91,208124,"Republican",34846,44263,0.787248943813117
40.73,2135216,57.6,3019512,"IL",2012,"Barack Obama",16.87,884296,"Democratic",46067,44263,1.04075638795382
54.13,1420543,43.93,1152887,"IN",2012,"Barack Obama",-10.2,267656,"Republican",37987,44263,0.858211147007659
46.18,730617,51.99,822544,"IA",2012,"Barack Obama",5.81,91927,"Democratic",43458,44263,0.981813252603755
